Address,Account No.,Age,Class,Units,GBA,NRA,Land Area,Stories,Bedroom,Appraised Value
950 VILLA DE MATEL RD # 241,1045500000002,54,3,241,"1,94,782","1,88,040","3,31,248",2,2,17644395
1105 DUMONT ST # 38,0341650280001,49,2,38,"30,309","27,976","42,600",2,1,919637
11211 S POST OAK RD # 82,0410910000005,60,3,82,"67,564","66,910","97,862",2,2,4514992
12108 NEFF ST # 20,1020380000003,44,2,20,"26,520","26,520","55,461",2,1,1005087
13039 MARKET ST # 57,0642250010008,66,2,57,"28,743","21,618","1,17,500",2,1,1103976
4040 SYNOTT RD # 255,1152040000031,39,3,255,"2,39,179","2,38,459","4,75,667",2,2,14500000
1325 CEDAR POST LN # 52,0681430000020,49,3,52,"50,793","47,997","68,084",2,3,3548584
1353 JUDIWAY ST # 32,0432050050010,62,3,32,"26,962","22,480","43,316",2,1,1839443
13919 TEXARKANA ST # 52,0650710850007,40,3,52,"36,120","34,860","52,500",2,2,2777179
13932 VICTORIA ST # 46,0650710790012,36,3,46,"24,627","22,826","42,000",2,1,2129341
1419 HYDE PARK BLVD # 26,0180060000019,57,1,26,"11,568","11,568","11,250",2,1,1359540
1600 W T C JESTER BLVD # 96,0913250000013,52,4,96,"69,129","64,600","1,21,315",2,2,11360805
1648 W ALABAMA ST # 36,0540550090001,72,4,36,"18,073","17,300","18,750",2,1,2849195
166 WINKLER DR # 96,0450660000065,62,2,96,"82,237","69,000","87,011",2,2,2899732
1705 W 34TH ST # 48,0580930000021,54,1,48,"33,024","33,024","65,279",2,1,2137931
1714 WIRT RD # 117,0700290090008,56,4,117,"1,26,813","85,215","1,36,343",2,1,9799896
17206 IMPERIAL VALLEY DR # 59,1088270000006,38,2,59,"65,095","55,454","95,849",3,2,2107180
1742 WOODVINE DR # 105,0421300010198,62,4,105,"68,956","67,740","1,06,269",2,2,8761981
1915 BRANARD ST # 22,0382200000001,62,1,22,"14,383","14,383","15,625",2,1,1543870
2010 JOHANNA DR # 30,0700290040008,64,2,30,"22,958","21,200","44,025",2,1,1022648
2020 W MAIN ST # 22,0561230000019,57,4,22,"10,785","12,700","14,000",2,1,1940818
219 W ALABAMA ST # 32,0082590000003,64,4,32,"14,610","13,675","15,625",2,1,2252190
2203 ALDINE MAIL ROUTE RD # 65,0250460000354,62,3,65,"61,098","54,660","1,36,778",2,3,3465689
221 CAYLOR ST # 36,0280010060006,63,3,36,"17,908","17,908","33,314",1,1,1783515
2601 RIVERSIDE DR # 68,0611260330017,62,3,68,"47,968","47,758","72,680",2,2,2450000
2900 BRIARHURST DR # 129,0951520000021,43,4,129,"1,50,409","1,41,995","1,94,761",2,1,15047612
2811 BROAD ST # 36,0582350020016,58,3,36,"26,234","22,488","40,000",2,1,1825000
2930 PLUM CREEK LN # 78,1352040010001,8,5,78,"69,066","67,075","98,925",3,2,9096960
3023 WOODCREEK LN # 42,1154950140390,38,3,42,"34,402","32,246","62,800",2,2,2610275
3037 GOLFCREST BLVD # 25,0582950000024,66,2,25,"19,642","19,642","14,980",2,1,825456
3043 GOLFCREST BLVD # 33,0582950000009,59,3,33,"23,916","17,500","43,466",2,1,1150000
3215 BROADWAY ST # 38,0283160000001,60,3,38,"24,980","24,450","27,176",2,1,2091535
3304 FOUNTAIN VIEW DR # 60,0690440050169,52,3,60,"52,307","46,996","77,850",2,3,2675000
3500 W LITTLE YORK RD # 130,0642140020015,40,3,130,"1,18,937","1,14,711","2,13,487",2,1,5389000
3817 FANNIN ST # 37,0130720000001,82,1,37,"23,301","23,301","20,199",2,1,2027547
3821 SHERWOOD LN # 63,0661120060006,58,3,63,"54,389","49,460","1,02,902",2,1,3379542
4114 BROADWAY ST # 29,0283010000016,60,2,29,"29,228","23,520","25,800",2,1,988424
4137 DOVER ST # 32,0282930000005,52,3,32,"28,766","28,160","51,601",2,1,2074034
414 MARSHALL ST # 27,0370370000004,57,1,27,"17,478","17,478","18,750",2,1,1487280
4225 MANGUM # 52,0422240000088,57,3,52,"41,342","41,400","88,645",2,2,3650000
427 HOLLYVALE DR # 77,0923280000009,50,3,77,"35,198","31,740","58,784",2,2,2185616
4401 SHERWOOD LN # 52,0661120040013,54,2,52,"47,077","47,077","72,200",2,1,1967771
4411 N SHEPHERD DR # 106,0410500040010,62,3,106,"71,392","62,882","1,10,721",2,1,5578379
4422 WEAVER DR # 63,0740070010002,45,3,63,"46,944","46,158","79,018",2,1,3100000
4702 MANGUM RD # 38,0432100000212,62,3,38,"26,274","23,646","44,248",2,1,1993490
4712 LOCKWOOD DR # 65,0651240430625,57,3,65,"36,708","36,971","64,650",2,1,3010178
4920 MARABLE # 54,0841280000013,61,2,54,"47,166","34,700","70,829",2,1,1044459
502 W ALABAMA ST # 25,0370400000001,62,3,25,"18,533","18,533","13,750",2,2,1409679
5100 FULTON ST # 30,0660640320021,58,3,30,"20,686","20,686","25,569",2,1,1691262
5116 ALBA RD # 64,0410500010009,44,3,64,"53,760","48,100","82,345",2,3,3450000
5331 BEVERLYHILL ST # 427,0936330000008,57,4,427,"4,50,314","4,07,074","4,70,679",3,1,51002467
5518 RAND ST # 52,0651260430946,52,3,52,"29,178","29,178","53,996",2,1,2375672
5520 CAVALCADE ST # 37,0651260410906,62,3,37,"30,488","28,860","78,351",1,1,1765272
5555 GULF BANK RD # 98,1141310000001,41,3,98,"74,224","75,915","1,31,312",2,2,5300000
5801 CLAREWOOD # 64,0370580230014,51,2,64,"52,092","49,208","71,700",2,1,1500000
601 W DONOVAN ST # 78,0410500030210,57,4,78,"68,048","63,966","2,18,976",1,3,7524868
6060 BELARBOR ST # 50,0790090130019,62,3,50,"33,030","29,000","46,324",2,1,2844431
6226 VALERIE ST # 24,0370630000031,62,3,24,"24,800","24,240","28,392",2,2,1746436
6414 ALDER DR # 73,0370580230002,52,3,73,"57,103","51,640","87,120",2,3,3110000
6815 ACADEMY ST # 44,0090260000074,62,4,44,"28,086","26,444","39,596",2,2,3373401
7101 BEECHNUT ST # 48,0923990000009,59,3,48,"44,784","40,120","83,758",2,2,2659767
712 PINEMONT DR # 88,0410500030295,50,1,88,"57,650","54,767","90,397",2,1,4200000
7303 HILLCROFT ST # 62,0370620040097,56,2,62,"67,576","67,500","95,700",2,1,2267706
7525 HILLCROFT ST # 60,0370630000005,62,3,60,"51,440","49,365","81,568",2,2,4146886
7530 CANAL ST # 44,0251390000029,62,2,44,"32,536","32,536","40,625",2,1,1367163
7615 GRAHAMCREST DR # 49,0780710010002,49,3,49,"38,734","36,164","59,861",2,1,3342673
7630 HILLSBORO ST # 25,0560010000002,52,3,25,"14,400","14,400","23,651",2,1,1325842
7711 BELLFORT ST # 41,0950620000046,58,2,41,"33,016","30,950","51,487",2,3,967469
803 NANCY ROSE ST # 28,0630440290001,42,3,28,"18,840","18,840","22,000",2,2,1499916
8345 PARK PLACE BLVD # 50,0283320000020,57,2,50,"38,540","36,610","50,000",2,1,1516208
8351 PARK PLACE BLVD # 40,0283320000019,62,2,40,"37,799","26,850","37,500",2,2,1092023
848 YALE ST # 21,0202420000022,26,2,21,"19,946","19,600","26,400",2,1,2675000
9005 LONG POINT RD # 41,0440340020461,57,4,41,"39,768","39,647","56,192",2,3,3600000
9800 BRAEBURN GLEN BLVD # 55,1051770000028,48,3,55,"41,121","40,200","82,154",2,1,2577946
303 E 9TH ST # 25,0202240000011,52,4,25,"17,600","17,600","26,400",2,1,2381583
5938 SCHROEDER RD # 28,0460360000150,55,2,28,"21,440","21,440","34,866",2,1,901018
6524 HOGUE ST # 56,0600770090004,62,3,56,"44,565","44,565","68,751",2,1,3242587
160 BIRDSALL ST # 196,1364440010001,4,1,196,"1,77,966","1,52,206","69,875",5,2,41767234
5401 RAMPART ST # 1006,0410330050010,45,3,1006,"8,07,423","7,69,485","13,07,135",2,1,62023923
12919 WHITTINGTON DR # 720,1150850000003,39,4,720,"6,38,248","5,85,192","10,18,315",3,1,69046953
8300 W AIRPORT BLVD # 178,0430620000055,38,3,178,"2,18,300","1,34,296","2,49,808",2,1,10443255
3230 S GESSNER RD # 424,0401610000033,46,4,424,"2,87,569","2,87,540","5,22,726",2,1,31575000
1500 LAWNDALE PLZ # 90,0710170010001,77,3,90,"77,300","63,000","2,38,970",2,1,4317649
8818 ILONA LN # 8,0830570000003,57,1,8,"5,882","5,882","8,402",2,1,590999
2311 FOUNTAIN VIEW DR # 586,0990780010001,54,3,586,"5,22,318","5,13,566","7,06,090",2,1,38347612
872 BETTINA CT # 418,0985850000003,55,4,418,"3,30,910","3,03,005","5,13,999",2,1,36000000
9425 SCOTT ST # 69,0904300000001,52,3,69,"47,960","46,396","51,228",2,1,3365142
1315 NASA RD 1 # 490,1003190000001,54,4,490,"4,70,930","4,22,149","7,21,048",2,1,42000000
6550 HILLCROFT ST # 921,0915120000002,44,3,921,"7,69,005","7,12,758","8,91,211",3,1,49686360
3939 SYNOTT RD # 328,1152040000001,39,3,328,"2,81,696","1,73,852","4,13,864",2,1,12603028
6700 S DAIRY ASHFORD # 572,1145060000003,41,3,572,"5,26,945","5,07,277","10,03,910",2,3,37539312
11770 WESTHEIMER RD # 272,1049280000048,43,4,272,"2,10,507","2,08,804","3,82,688",2,2,26642664
14500 CUTTEN RD # 382,1199460000001,23,4,382,"4,86,739","4,06,786","8,67,715",3,3,45500000
5410 N BRAESWOOD BLVD # 1326,0410880000003,54,3,1326,"12,02,191","11,88,196","11,88,196",2,1,87242859
16150 KIETH HARROW BLVD # 272,0472110000005,41,4,272,"1,90,429","1,89,872","4,46,028",2,1,19754016
9555 CROFTON ST # 268,0942990000005,46,3,268,"2,19,230","2,16,088","4,32,250",2,1,9988714
5600 ROYAL PALMS ST # 80,0912220000002,57,3,80,"57,344","54,320","1,17,202",2,1,3059727
10110 WESTVIEW DR # 345,0583030000016,51,2,345,"3,06,064","2,96,465","4,75,134",2,1,4600000
5860 GULFTON ST # 1792,0370590240005,52,2,1792,"16,12,349","15,94,512","23,53,664",2,2,61500000
6200 RUMFORD LN # 58,1144910110105,40,3,58,"58,538","56,264","1,09,239",2,2,4084964
